time,T1,T2,T3,T4,thermo1,thermo2,thermo3
16200.0,21.739502,18.852243,20.212015,22.821142,25.164778,30.759071,25.243973
16300.0,21.73678,18.90711,20.268614,22.879705,25.164377,30.754816,25.273819
16400.0,21.73381,18.961605,20.324898,22.937904,25.16393,30.750662,25.303558
16500.0,21.730581,19.015736,20.380884,22.995699,25.163446,30.74661,25.33319
16600.0,21.727064,19.069517,20.436552,23.053085,25.162918,30.742666,25.36271
16700.0,21.723295,19.12293,20.491888,23.110067,25.16234,30.738821,25.392126
16800.0,21.71929,19.175991,20.546911,23.166649,25.161707,30.735056,25.42142
16900.0,21.715036,19.228662,20.60166,23.222857,25.161034,30.7314,25.450594
17000.0,21.710546,19.280996,20.656107,23.278671,25.160309,30.727842,25.479652
17100.0,21.70581,19.332981,20.71023,23.334139,25.159546,30.724373,25.508593
17200.0,21.700861,19.384623,20.764061,23.389246,25.158731,30.720993,25.53742
17300.0,21.695723,19.435919,20.817606,23.443964,25.157883,30.717705,25.566141
17400.0,21.690369,19.486856,20.870844,23.498297,25.156996,30.714508,25.594744
17500.0,21.684807,19.537434,20.923756,23.552233,25.156065,30.711395,25.62323
17600.0,21.679024,19.587679,20.976381,23.605797,25.155096,30.708374,25.65159
17700.0,21.67306,19.637608,21.028742,23.659006,25.15409,30.705435,25.679832
17800.0,21.666906,19.68719,21.080816,23.711832,25.153051,30.702574,25.70796
17900.0,21.660566,19.736422,21.132597,23.764345,25.151962,30.699799,25.735971
18000.0,21.654037,19.785334,21.184086,23.816513,25.150833,30.697107,25.763884
18100.0,21.647348,19.833933,21.235298,23.868341,25.149668,30.694494,25.791674
18200.0,21.64049,19.882204,21.28623,23.919802,25.148474,30.691961,25.81936
18300.0,21.633446,19.930124,21.336874,23.970894,25.14724,30.689514,25.846924
18400.0,21.626244,19.977703,21.387238,24.021608,25.14596,30.687126,25.87436
18500.0,21.61888,20.024954,21.437304,24.071997,25.144644,30.684832,25.901674
18600.0,21.611359,20.071917,21.487137,24.122023,25.143293,30.682604,25.928873
18700.0,21.603683,20.118565,21.536697,24.17172,25.141914,30.680466,25.955956
18800.0,21.595856,20.164879,21.585981,24.221125,25.140495,30.6784,25.982931
18900.0,21.587885,20.210886,21.63498,24.270187,25.139038,30.676397,26.009789
19000.0,21.579742,20.256586,21.683723,24.31893,25.137535,30.674479,26.03654
19100.0,21.571472,20.30197,21.732195,24.36731,25.136007,30.67262,26.063171
19200.0,21.563057,20.347055,21.780418,24.415352,25.13444,30.670832,26.089682
19300.0,21.55454,20.391813,21.828362,24.46306,25.132843,30.669119,26.116081
19400.0,21.545912,20.436264,21.876038,24.510462,25.13122,30.66747,26.142366
19500.0,21.53715,20.480406,21.923462,24.557539,25.129568,30.6659,26.168535
19600.0,21.528269,20.524265,21.970644,24.604284,25.127884,30.664389,26.19459
19700.0,21.519255,20.567822,22.017561,24.650759,25.126165,30.662949,26.22053
19800.0,21.51013,20.611084,22.064226,24.696943,25.124414,30.661581,26.24637
19900.0,21.500898,20.654055,22.110641,24.742805,25.122637,30.660276,26.272108
20000.0,21.491547,20.696754,22.156822,24.788355,25.120832,30.659029,26.297735
20100.0,21.48211,20.739145,22.202738,24.83358,25.11901,30.657852,26.323248
20200.0,21.472563,20.78125,22.248428,24.878477,25.117157,30.65674,26.348639
20300.0,21.462915,20.823044,22.293852,24.923058,25.11527,30.655693,26.373901
20400.0,21.45317,20.86455,22.339037,24.967356,25.113358,30.65471,26.399055
20500.0,21.44335,20.905775,22.383974,25.011358,25.111414,30.653791,26.4241
20600.0,21.433428,20.946716,22.42868,25.05506,25.109451,30.652931,26.449036
20700.0,21.423426,20.987383,22.47313,25.098503,25.107458,30.652124,26.473862
20800.0,21.413338,21.027784,22.51735,25.141668,25.105438,30.651373,26.498579
20900.0,21.403181,21.067919,22.56135,25.18454,25.103401,30.650686,26.523195
21000.0,21.392944,21.107788,22.605139,25.227125,25.101334,30.650053,26.547699
21100.0,21.38262,21.147373,22.648682,25.269402,25.099243,30.64949,26.572098
21200.0,21.372232,21.186684,22.691984,25.31138,25.09713,30.648977,26.596369
21300.0,21.361755,21.225714,22.735056,25.353058,25.094994,30.648523,26.620537
21400.0,21.351217,21.264471,22.777895,25.394464,25.09284,30.648127,26.644587
21500.0,21.340614,21.30295,22.820509,25.435606,25.090662,30.647787,26.668526
21600.0,21.32995,21.341143,22.862886,25.476456,25.088455,30.647507,26.69238
21700.0,21.319223,21.379074,22.905054,25.517069,25.086226,30.647285,26.716127
21800.0,21.30843,21.416754,22.946981,25.557451,25.083971,30.647116,26.739777
21900.0,21.297588,21.454199,22.9887,25.597559,25.08169,30.646997,26.763315
22000.0,21.286663,21.49141,23.030228,25.637398,25.079397,30.646927,26.78676
22100.0,21.275702,21.528387,23.07155,25.676971,25.077087,30.646912,26.810099
22200.0,21.264704,21.5651,23.11265,25.716269,25.074762,30.646965,26.833334
22300.0,21.25363,21.60154,23.153517,25.755285,25.072418,30.64707,26.856453
22400.0,21.24251,21.637724,23.19417,25.794027,25.070047,30.647223,26.879461
22500.0,21.231325,21.673637,23.234612,25.832499,25.067656,30.647417,26.90236
22600.0,21.220098,21.709288,23.274834,25.87073,25.065237,30.647675,26.925156
22700.0,21.208826,21.744682,23.31484,25.908716,25.06279,30.647982,26.947859
22800.0,21.197517,21.779829,23.354645,25.946447,25.060324,30.64834,26.970459
22900.0,21.186167,21.814722,23.394232,25.98398,25.05784,30.648752,26.992958
23000.0,21.174768,21.849375,23.433607,26.021286,25.055336,30.649206,27.015368
23100.0,21.163328,21.883835,23.472809,26.058327,25.05281,30.64972,27.037674
23200.0,21.151867,21.918093,23.511839,26.095108,25.050276,30.650274,27.059877
23300.0,21.140358,21.952116,23.550667,26.131655,25.047728,30.650879,27.08198
23400.0,21.12882,21.9859,23.589294,26.167953,25.045166,30.651527,27.103989
23500.0,21.117254,22.019424,23.627708,26.204002,25.042582,30.652227,27.125895
23600.0,21.10565,22.052711,23.665932,26.2398,25.039978,30.652975,27.147696
23700.0,21.094017,22.085745,23.703947,26.27534,25.03736,30.653778,27.169401
23800.0,21.082348,22.118538,23.741762,26.310669,25.034706,30.654612,27.191002
23900.0,21.070635,22.151077,23.779371,26.345757,25.032042,30.6555,27.212511
24000.0,21.05891,22.183401,23.816801,26.380615,25.029348,30.656431,27.233934
24100.0,21.04717,22.215492,23.854025,26.415289,25.026636,30.65742,27.255264
24200.0,21.035393,22.247343,23.891047,26.449768,25.02392,30.658453,27.27651
24300.0,21.023607,22.278976,23.927874,26.484041,25.02118,30.659523,27.297659
24400.0,21.011805,22.310434,23.964554,26.518087,25.01843,30.660643,27.318712
24500.0,20.999977,22.34173,24.001104,26.551886,25.015676,30.661802,27.339666
24600.0,20.988127,22.372803,24.037447,26.585457,25.012907,30.663012,27.36052
24700.0,20.976263,22.403646,24.073608,26.618807,25.010122,30.664255,27.381287
24800.0,20.964392,22.434252,24.109568,26.651918,25.007326,30.665545,27.401947
24900.0,20.952501,22.464645,24.145355,26.684805,25.004509,30.666891,27.422516
25000.0,20.940592,22.494806,24.180971,26.717453,25.001677,30.668266,27.442976
25100.0,20.92868,22.524744,24.216393,26.7499,24.998825,30.66968,27.463343
25200.0,20.91675,22.554451,24.251627,26.782152,24.995962,30.671137,27.483627
25300.0,20.904783,22.583954,24.286695,26.814192,24.993078,30.67264,27.503828
25400.0,20.89283,22.613237,24.321571,26.846022,24.990173,30.674187,27.523947
25500.0,20.880827,22.642302,24.356249,26.877691,24.987246,30.675774,27.543976
25600.0,20.868834,22.67113,24.390755,26.909187,24.984297,30.677393,27.56392
25700.0,20.856825,22.699762,24.425097,26.94049,24.981323,30.679056,27.58377
25800.0,20.844809,22.72822,24.4593,26.971573,24.978338,30.680769,27.603539
